name;YearMeanMean;YearMean05;YearMean95;YearPrecMean;YearPrec05;YearPrec95;GSMeanMean;GSMean05;GSMean95;Area (km²);EasternLim;WesternLim;NorthernLim;SouthernLim
Tilia platyphyllos;9,473899429;5,596001463;13,2734272;736,7404215;519,6342011;1296,423579;14,81888584;11,14556937;19,00113035;2198400;27,17;-5,5;54,5;40,83
Torilis japonica;8,831496198;4,023855963;15,00966283;725,1935527;505,5479871;1227,913476;14,92313447;11,32724712;19,98312473;5842400;46,83;-10,5;65,17;36,5
Barbarea vulgaris;7,443883223;0,791891613;15,11241171;712,3108287;501,5014606;1255,019242;13,7018712;8,036973037;19,36628265;7711200;59,83;-9,83;71,17;35,17
Trifolium alpestre;7,641055483;3,603663492;12,77034649;721,3448566;504,3644331;1299,841097;15,09149714;11,61654387;18,86922605;3319200;56,5;7,5;56,5;39,5
Trifolium arvense;8,519949636;1,907805646;16,24518085;705,605527;450,4659777;1213,378024;14,96159462;10,70203274;20,748236;8732800;59,83;-9,5;63,17;33,5
Trifolium medium;6,238756912;0,156197842;11,44744281;719,447466;503,3405232;1225,263248;13,25097446;8,570550348;17,40797939;7280800;59,83;-10,5;65,83;38,5
Trifolium montanum;7,116726724;3,084813612;11,35901601;729,738678;509,8331168;1247,49758;14,33062715;11,65756208;18,1088597;4524400;59,83;-9,17;60,83;39,5
Trifolium repens;7,431794744;0,211305128;16,41383747;694,9166295;419,5829459;1267,245838;14,33221079;8,430473162;20,81730859;10471200;59,83;-10,5;71,17;32,17
Trifolium rubens;9,535151954;6,592844773;13,66316201;729,3105594;517,1611043;1291,417818;15,03405791;12,40483087;19,05108805;1704000;28,5;-3,5;55,17;39,5
Trisetum flavescens;9,150168325;5,733599421;13,21104362;730,6976901;513,5140568;1328,434402;14,4967853;11,35730463;18,76279045;3719600;49,5;-10,5;61,17;40,17
Tussilago farfara;6,620199871;0,138512263;13,77040106;707,3021013;463,8759325;1270,546871;13,7432048;8,292803233;19,28912004;9416400;59,83;-9,83;71,17;36,17
Typha latifolia;8,03570203;3,039522354;14,42345702;723,0824048;502,346302;1233,691551;14,41398865;10,78029437;19,4305284;7035200;55,5;-10,5;66,17;37,5
Ulmus glabra;7,140606651;2,615539373;11,67517128;724,0961958;516,0384927;1251,453104;13,77161268;10,24910153;18,26821119;5466800;57,5;-10,5;69,17;38,17
Urtica dioica;7,536060019;-0,170754375;15,99308977;663,4684749;219,6469694;1253,194707;14,52578755;7,795434136;21,3404638;11252800;59,83;-10,5;71,17;29,17
Urtica urens;8,290253298;1,951466743;16,8782434;688,0795554;433,161729;1196,150332;14,58506218;9,489038222;20,98291043;8889600;59,83;-10,5;70,17;25,83
Vaccinium myrtillus;5,308015445;-1,160822309;11,37137159;735,1699011;509,7222868;1305,227217;11,66917645;6,209134231;15,67356822;7160000;59,83;-10,5;71,17;41,5
